Date,invsaf_Indicator_Score
Apr 29,17.47
May 06,18.69
May 13,19.58
May 20,24.13
May 27,19.44
Jun 03,14.7
Jun 10,15.79
Jun 17,11.08
Jun 24,11.55
Jul 01,11.57
Jul 08,21.16
Jul 15,30.41
Jul 22,30.76
Jul 29,26.54
