Date,Investment_Amount_(3-Week_SMA)
Apr 15,95.14
Apr 22,95.53
Apr 29,95.39
May 06,95.35
May 13,97.02
May 20,97.71
May 27,97.67
Jun 03,97.03
Jun 10,95.93
Jun 17,96.04
Jun 24,96.03
Jul 01,94.78
Jul 08,92.94
