Date,rsa_Indicator_Score
Apr 29,40.12
May 06,42.15
May 13,43.67
May 20,44.88
May 27,46.2
Jun 03,47.35
Jun 10,48.58
Jun 17,49.12
Jun 24,49.87
Jul 01,50.24
Jul 08,50.67
Jul 15,51.22
Jul 22,50.89
Jul 29,59.12
2024-07-29 14:59:30.062731,nan
2024-07-29 15:02:22.217386,nan
