Date,Investment_Amount_(3-Week_SMA)
Apr 15,87.97
Apr 22,86.03
Apr 29,82.53
May 06,81.31
May 13,80.42
May 20,75.87
May 27,80.56
Jun 03,85.3
Jun 10,84.21
Jun 17,88.92
Jun 24,88.45
Jul 01,88.18
Jul 08,76.88
